rowname	AMP-T2D case	AMP-T2D control	UKB
Female	 9508	10640	20834
Male	 9231	 9239	17732
age_mean	58.20419	57.34549	58.27162
age_sd	 9.69527	10.64926	 7.92164
bmi_mean	29.26565	27.48998	27.36004
bmi_sd	5.950571	5.362138	4.761148
ldl_mgdl_mean	115.4893	130.7208	137.0892
ldl_mgdl_sd	38.25556	36.23921	33.06161
ldl_mgdl_adj_mean	134.3111	136.3938	147.4609
ldl_mgdl_adj_sd	45.79323	39.78540	36.18968
hdl_mgdl_mean	46.60104	51.77550	57.26562
hdl_mgdl_sd	14.11578	16.16179	14.92374
tg_mgdl_mean	180.6440	139.6179	150.6045
tg_mgdl_sd	138.30872	 98.86884	 86.36813
tg_mgdl_adj_mean	191.8438	142.5133	156.9355
tg_mgdl_adj_sd	148.6049	100.9806	 92.9376
African American	2480	2626	NA
East Asian	2666	2533	NA
European	 4713	 6557	38566
Hispanic	6126	5609	NA
Other	 3	13	NA
South Asian	2751	2541	NA
