Condition	Gene	total_AMP-T2D-GENES	Mean (95% CI)_AMP-T2D-GENES	prop_AMP-T2D-GENES	Beta (se)_AMP-T2D-GENES_cont	P value_AMP-T2D-GENES_cont	OR_AMP-T2D-GENES	P value_AMP-T2D-GENES_binary	total_UKBB	Mean (95% CI)_UKBB	prop_UKBB	Beta (se)_UKBB_cont	P value_UKBB_cont	OR_UKBB	P value_UKBB_binary
High LDL (>190 mg/dl)	APOB	11	133.71   (106.11-161.31)	0.0909 (0.0023-0.413)	22.3 (10.3)	0.0311	4.93 (1.88-12.9)	0.146	26	170.64   (155.26-186.02)	0.269 (0.116-0.478)	  30 (6.23)	1.48e-06	5.19 (3.35-8.06)	0.000939
High LDL (>190 mg/dl)	LDLR	44	179.08   (155.27-202.89)	0.364 (0.224-0.522)	54.1 (5.46)	4.11e-23	14.4 (10.2-20.3)	2.51e-11	57	152.07   (138.88-165.27)	0.193 ( 0.1-0.319)	16.3 (4.29)	0.000139	  4 (2.86-5.59)	0.000301
High LDL (>190 mg/dl)	Non Carrier	19131	123.19   (122.65-123.72)	0.0444 (0.0416-0.0474)	NA	NA	NA	NA	36336	137.04   (136.70-137.38)	0.0612 (0.0588-0.0637)	NA	NA	NA	NA
High LDL (>190 mg/dl) no lipid meds	APOB	4	140.99   (42.00-239.98)	0.25 (0.00631-0.806)	22.7 (10.2)	0.0269	5.03 (1.91-13.2)	0.143	13	192.02   (171.99-212.06)	0.462 (0.192-0.749)	38.5 (5.93)	8.66e-11	6.68 (4.29-10.4)	0.000209
High LDL (>190 mg/dl) no lipid meds	LDLR	12	201.20   (140.16-262.25)	 0.5 (0.211-0.789)	  44 (6.47)	1.05e-11	9.29 (5.95-14.5)	1.42e-05	11	184.67   (156.67-212.67)	0.364 (0.109-0.692)	  32 (4.09)	5.14e-15	6.37 (4.53-8.95)	4.82e-06
High LDL (>190 mg/dl) no lipid meds	Non Carrier	9498	129.61   (128.87-130.34)	0.0546 (0.0502-0.0594)	NA	NA	NA	NA	28812	142.54   (142.18-142.89)	0.0684 (0.0656-0.0714)	NA	NA	NA	NA
High LDL ADJ (>190 mg/dl)	APOB	11	169.04   (134.37-203.70)	0.455 (0.167-0.766)	31.5 (  12)	0.0089	7.22 (4.02- 13)	0.00099	26	202.62   (186.69-218.55)	0.577 (0.369-0.766)	52.2 (6.83)	2.18e-14	10.6 (7.15-15.7)	7.05e-09
High LDL ADJ (>190 mg/dl)	LDLR	44	205.74   (181.79-229.68)	0.523 (0.367-0.675)	65.3 (6.34)	9e-25	11.1 (8.01-15.2)	1.53e-12	57	201.97   (184.63-219.31)	0.439 (0.307-0.576)	55.1 ( 4.7)	1.08e-31	6.88 (5.25-9.01)	5.26e-11
High LDL ADJ (>190 mg/dl)	Non Carrier	19131	135.20   (134.60-135.80)	0.0904 (0.0864-0.0945)	NA	NA	NA	NA	36336	147.34   (146.97-147.71)	0.106 (0.103-0.11)	NA	NA	NA	NA
Low LDL (<80 mg/dl)	APOB	8	49.74   (38.61-60.88)	   1 (0.631-   1)	-73.1 (12.7)	7.81e-09	247 (103-592)	3.99e-09	48	71.51   (65.23-77.78)	0.708 (0.559-0.83)	-64.2 (4.66)	5.17e-43	239 (147-390)	5.66e-15
Low LDL (<80 mg/dl)	PCSK9	27	78.03   (67.50-88.57)	0.556 (0.353-0.745)	-42.1 (7.03)	2.03e-09	6.97 (3.82-12.7)	0.00449	42	108.82   (100.81-116.82)	0.0714 (0.015-0.195)	-28.9 (4.93)	4.83e-09	14.7 (3.63-59.7)	0.188
