Condition	Gene	total_AMP-T2D-GENES	Mean (95% CI)_AMP-T2D-GENES	prop_AMP-T2D-GENES	Beta (se)_AMP-T2D-GENES_cont	P value_AMP-T2D-GENES_cont	OR_AMP-T2D-GENES	P value_AMP-T2D-GENES_binary	total_UKBB	Mean (95% CI)_UKBB	prop_UKBB	Beta (se)_UKBB_cont	P value_UKBB_cont	OR_UKBB	P value_UKBB_binary
High LDL (>190 mg/dl)	LDLR	2045	126.15   (124.33-127.98)	0.0689 (0.0583-0.0808)	0.442 (0.806)	0.584	1.23 (1.13-1.35)	0.022	5002	136.54   (135.60-137.47)	0.065 (0.0583-0.0722)	-0.406 (0.465)	0.382	1.08 (1.02-1.14)	0.198
High LDL (>190 mg/dl)	PCSK9	17	139.41   (116.46-162.37)	0.0588 (0.00149-0.287)	  NA (  NA)	  NA	 NA ( NA- NA)	  NA	13	127.45   (102.93-151.97)	0.0769 (0.00195-0.36)	NA	NA	NA	NA
High LDL (>190 mg/dl)	Non Carrier	17124	122.97   (122.41-123.53)	0.0423 (0.0394-0.0455)	NA	NA	NA	NA	31404	137.18   (136.82-137.55)	0.061 (0.0584-0.0637)	NA	NA	NA	NA
High LDL (>190 mg/dl) no lipid meds	LDLR	1284	132.67   (130.50-134.84)	0.0787 (0.0645-0.0948)	0.173 (0.865)	0.841	1.19 (1.08-1.31)	0.0803	3923	142.39   (141.41-143.37)	0.0732 (0.0652-0.0818)	-0.318 (0.443)	0.473	1.08 (1.02-1.15)	0.186
High LDL (>190 mg/dl) no lipid meds	PCSK9	10	150.30   (113.30-187.30)	 0.1 (0.00253-0.445)	  NA (  NA)	  NA	 NA ( NA- NA)	  NA	12	131.17   (105.75-156.59)	0.0833 (0.00211-0.385)	NA	NA	NA	NA
High LDL (>190 mg/dl) no lipid meds	Non Carrier	8220	129.21   (128.42-130.00)	0.0516 (0.0469-0.0566)	NA	NA	NA	NA	24901	142.61   (142.23-142.99)	0.068 (0.0649-0.0712)	NA	NA	NA	NA
High LDL ADJ (>190 mg/dl)	LDLR	2045	136.48   (134.47-138.49)	0.11 (0.0963-0.124)	-0.143 (0.938)	0.879	1.08 (  1-1.16)	0.295	5002	147.19   (146.18-148.20)	0.109 (0.101-0.118)	-0.343 (0.511)	0.502	1.02 (0.972-1.07)	0.705
High LDL ADJ (>190 mg/dl)	PCSK9	17	157.69   (133.47-181.91)	0.176 (0.038-0.434)	  NA (  NA)	  NA	 NA ( NA- NA)	  NA	13	130.19   (106.94-153.43)	0.0769 (0.00195-0.36)	NA	NA	NA	NA
High LDL ADJ (>190 mg/dl)	Non Carrier	17124	135.23   (134.59-135.86)	0.0893 (0.0851-0.0937)	NA	NA	NA	NA	31404	147.51   (147.11-147.91)	0.107 (0.104-0.111)	NA	NA	NA	NA
Low LDL (<80 mg/dl)	APOB	2	173.36   (-162.23-508.95)	   0 (   0-0.842)	  45 (25.3)	0.0758	11.5 (1.49-88.6)	0.24	1	55.61   (NaN-NaN)	   1 (0.025-   1)	-81.6 (32.4)	0.0116	1.58e+03 (141-1.78e+04)	0.0138
