Variable	Estimate	Std. Error	t value	Pr(>|t|)	Condition	restrict_lipid_meds
(Intercept)	98.873468746289	1.36747612213239	72.3036162358065	0	Low LDL	FALSE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier	-56.546016288188	3.70398929668768	-15.2662472158747	1.86677266163754e-52	Low LDL	FALSE
prs	-5.55467049317876	0.184214533185258	-30.1532696532288	2.61970126045902e-197	Low LDL	FALSE
age	0.839821341892808	0.02331650063699	36.0183268908067	3.52233969895801e-279	Low LDL	FALSE
SEXMale	-0.896468977539147	0.369329665374356	-2.42728668066909	0.015217047683589	Low LDL	FALSE
PC1	-1.0165446504526	11.3597304184759	-0.0894866878882317	0.928695624958379	Low LDL	FALSE
PC2	-52.8541497996063	13.2797033529101	-3.98007006594946	6.90284582269269e-05	Low LDL	FALSE
PC3	-7.60019638375865	17.8992504259755	-0.424609757553266	0.671123688129302	Low LDL	FALSE
PC4	43.6162727383905	23.5548581271869	1.85168904447991	0.0640785799957126	Low LDL	FALSE
PC5	81.1946217917174	23.321505545395	3.48153431319746	0.000499134132440159	Low LDL	FALSE
PC6	23.9231030656126	23.5579791565706	1.01549894864137	0.309874796618883	Low LDL	FALSE
PC7	-36.3769741518039	24.8334451663875	-1.46483800004684	0.142973757514289	Low LDL	FALSE
PC8	-17.0111096883006	24.7991375765481	-0.685955696475009	0.492745415013429	Low LDL	FALSE
PC9	45.0547759590696	25.4481954406386	1.77045072072658	0.0766604543756545	Low LDL	FALSE
PC10	31.4174909688994	25.7988462849147	1.21778666464129	0.223312946491355	Low LDL	FALSE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier:prs	2.16832538078247	3.53479369539084	0.613423460500634	0.539600210191498	Low LDL	FALSE
(Intercept)	100.776394644456	1.27302144635333	79.1631554465459	0	Low LDL	TRUE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier	-53.1883827855772	3.22732785135056	-16.4806258413811	9.59443103539603e-61	Low LDL	TRUE
prs	-5.14128686420514	0.175626937967623	-29.2739082267263	1.16798600476762e-185	Low LDL	TRUE
age	0.742011106709435	0.0220271178249673	33.6862549429131	5.00130975466307e-244	Low LDL	TRUE
SEXMale	-0.968486209756699	0.353512472907186	-2.73960972803065	0.00615500086740553	Low LDL	TRUE
PC1	17.0369069906579	10.7378256681292	1.58662540417516	0.112608480970782	Low LDL	TRUE
PC2	-63.7998375851955	12.5852642092908	-5.06940788244211	4.01522835005223e-07	Low LDL	TRUE
PC3	4.18094630817598	16.5341574011836	0.252867213413408	0.800372629623244	Low LDL	TRUE
PC4	29.550595502167	22.3857041087046	1.32006549173838	0.186823637274202	Low LDL	TRUE
PC5	40.5159153078151	22.2279533838501	1.82274609848932	0.0683522107857565	Low LDL	TRUE
PC6	24.3341934925353	22.3721036355428	1.08770251957332	0.276735551268723	Low LDL	TRUE
PC7	-15.5593483397529	23.4467813873915	-0.663602738588245	0.506949912176039	Low LDL	TRUE
PC8	-25.9886578278401	23.5096052517755	-1.1054484985824	0.268974526807515	Low LDL	TRUE
PC9	9.83246397370286	24.2794188314785	0.404971142099784	0.68550172906656	Low LDL	TRUE
PC10	19.3968715229318	24.5500253791742	0.790095782930885	0.429478333208254	Low LDL	TRUE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier:prs	1.66632866518807	3.04825452970805	0.546650107118075	0.584623369664096	Low LDL	TRUE
(Intercept)	98.5566791640685	1.36786154614416	72.0516483864089	0	High LDL	FALSE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier	54.9408529571819	3.85432434506358	14.2543408490122	5.60317439597336e-46	High LDL	FALSE
prs	5.57871656870006	0.184281655802136	30.2727721021236	7.70733372429971e-199	High LDL	FALSE
age	0.840069188720826	0.0233239889727083	36.0173892083297	3.63919211784218e-279	High LDL	FALSE
SEXMale	-0.823114215038663	0.369457139785816	-2.22790176829671	0.0258931523174442	High LDL	FALSE
PC1	-2.3376891488767	11.3643429767962	-0.205703854032725	0.837023398115605	High LDL	FALSE
PC2	-52.2981918398482	13.2842265369732	-3.93686389601155	8.27068899344787e-05	High LDL	FALSE
PC3	-7.30514269356482	17.9068345127663	-0.407952767327848	0.683310750961351	High LDL	FALSE
PC4	44.9579686156582	23.5630881268705	1.90798287446838	0.0564012888624938	High LDL	FALSE
PC5	85.5382929589788	23.3302259934805	3.66641510386063	0.000246324321026513	High LDL	FALSE
PC6	20.7001408993527	23.5655581177528	0.878406562489114	0.379728921934758	High LDL	FALSE
PC7	-39.0449711979832	24.8431672824126	-1.57165834589959	0.116038498188865	High LDL	FALSE
PC8	-14.730231447034	24.8079132115332	-0.593771484180536	0.552668653463393	High LDL	FALSE
PC9	46.7269046141719	25.456866621692	1.83553244429366	0.0664349890601507	High LDL	FALSE
PC10	26.8856893146739	25.8094570472969	1.04169914405424	0.297558103997409	High LDL	FALSE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier:prs	-4.62981587391228	3.61687826800171	-1.28005852861346	0.200532709426467	High LDL	FALSE
(Intercept)	100.522343319462	1.27761583993933	78.6796313704404	0	High LDL	TRUE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier	47.2357084995059	6.06653446528892	7.78627547074461	7.13204035284038e-15	High LDL	TRUE
prs	5.15442947631107	0.176018203545353	29.2835023451593	8.88850804838454e-186	High LDL	TRUE
age	0.742740529441139	0.0221056657605774	33.5995548600812	8.29960816734499e-243	High LDL	TRUE
SEXMale	-0.920123551239111	0.354764990673458	-2.59361429517727	0.00950209862871387	High LDL	TRUE
