Condition	Restricted no lipid medications	total_Non Carrier_AMP-T2D-GENES	Mean (95% CI) Non Carrier_AMP-T2D-GENES	count_Non Carrier_AMP-T2D-GENES	prop_Non Carrier_AMP-T2D-GENES	total_Carrier_AMP-T2D-GENES	Mean (95% CI) Carrier_AMP-T2D-GENES	count_Carrier_AMP-T2D-GENES	prop_Carrier_AMP-T2D-GENES	Beta (se)_AMP-T2D-GENES_cont	P value_AMP-T2D-GENES_cont	Beta (se)_AMP-T2D-GENES_binary	P value_AMP-T2D-GENES_binary	OR_AMP-T2D-GENES	total_Non Carrier_UKBB	Mean (95% CI) Non Carrier_UKBB	count_Non Carrier_UKBB	prop_Non Carrier_UKBB	total_Carrier_UKBB	Mean (95% CI) Carrier_UKBB	count_Carrier_UKBB	prop_Carrier_UKBB	Beta (se)_UKBB_cont	P value_UKBB_cont	Beta (se)_UKBB_binary	P value_UKBB_binary	OR_UKBB
High LDL (>190 mg/dl)		17124	122.97   (122.41-123.53)	725	0.0423 (0.0394-0.0455)	2062	126.26   (124.45-128.08)	142	0.0689 (0.0583-0.0807)	0.442 (0.806)	0.584	0.21 (0.0895)	0.022	1.23 (1.13-1.35)	31404	137.18   (136.82-137.55)	1916	0.061 (0.0584-0.0637)	5015	136.51   (135.58-137.44)	326	0.065 (0.0583-0.0722)	-0.406 (0.465)	0.382	0.076 (0.0584)	0.198	1.08 (1.02-1.14)
High LDL (>190 mg/dl) no lipid meds	Yes	8220	129.21   (128.42-130.00)	424	0.0516 (0.0469-0.0566)	1294	132.80   (130.64-134.97)	102	0.0788 (0.0647-0.0949)	0.173 (0.865)	0.841	0.173 (0.0967)	0.0803	1.19 (1.08-1.31)	24901	142.61   (142.23-142.99)	1694	0.068 (0.0649-0.0712)	3935	142.36   (141.38-143.34)	288	0.0732 (0.0652-0.0818)	-0.318 (0.443)	0.473	0.0781 (0.0585)	0.186	1.08 (1.02-1.15)
High LDL ADJ (>190 mg/dl)		17124	135.23   (134.59-135.86)	1530	0.0893 (0.0851-0.0937)	2062	136.66   (134.65-138.66)	227	0.11 (0.0969-0.124)	-0.143 (0.938)	0.879	0.0767 (0.0725)	0.295	1.08 (  1-1.16)	31404	147.51   (147.11-147.91)	3362	0.107 (0.104-0.111)	5015	147.14   (146.13-148.16)	547	0.109 (0.101-0.118)	-0.343 (0.511)	0.502	0.0176 (0.0464)	0.705	1.02 (0.972-1.07)
Low LDL (<80 mg/dl)		19167	123.33   (122.79-123.86)	2171	0.113 (0.109-0.118)	19	118.27   (99.18-137.35)	1	0.0526 (0.00133-0.26)	-3.96 (8.29)	0.633	0.491 (0.943)	0.61	1.63 (0.636-4.2)	36380	137.12   (136.78-137.46)	1172	0.0322 (0.0304-0.0341)	39	105.21   (95.64-114.78)	9	0.231 (0.111-0.393)	-33.2 (5.18)	1.47e-10	2.78 (1.45)	0.18	16.1 (3.76- 69)
Low LDL (<80 mg/dl) no lipid meds	Yes	9508	129.72   (128.98-130.46)	697	0.0733 (0.0681-0.0787)	6	102.55   (58.74-146.37)	1	0.167 (0.00421-0.641)	1.18 (10.4)	0.91	0.621 (0.964)	0.529	1.86 (0.709-4.88)	28801	142.62   (142.26-142.97)	368	0.0128 (0.0115-0.0141)	35	106.01   (95.95-116.07)	8	0.229 (0.104-0.401)	 -36 (4.93)	3.13e-13	2.59 (1.61)	0.209	13.3 (2.65-66.3)
Low LDL ADJ (<80 mg/dl)		19167	135.38   (134.77-135.99)	1294	0.0675 (0.064-0.0712)	19	136.67   (108.22-165.11)	1	0.0526 (0.00133-0.26)	0.191 (9.64)	0.984	0.84 (0.935)	 0.4	2.32 (0.909-5.9)	36380	147.50   (147.13-147.87)	419	0.0115 (0.0104-0.0127)	39	109.53   (98.88-120.17)	9	0.231 (0.111-0.393)	-39.3 (5.69)	5.1e-12	 4.2 (1.31)	0.0752	66.9 (18.1-247)
High HDL (>70 mg/dl)		28981	49.35   (49.17-49.53)	2720	0.0939 (0.0905-0.0973)	14	66.38   (49.32-83.45)	4	0.286 (0.0839-0.581)	17.4 (3.67)	2.08e-06	1.09 (0.594)	0.0696	2.99 (1.65-5.41)	34546	57.26   (57.10-57.42)	6479	0.188 (0.183-0.192)	15	74.09   (65.01-83.17)	9	 0.6 (0.323-0.837)	  18 (3.45)	1.74e-07	2.26 (0.666)	0.000101	9.56 (4.91-18.6)
High triglycerides (>200 mg/dl)		24388	163.66   (162.07-165.24)	5927	0.243 (0.238-0.248)	5267	138.30   (135.83-140.77)	858	0.163 (0.153-0.173)	-0.0893 (0.00738)	1.35e-33	-0.349 (0.0395)	   0	0.705 (0.678-0.734)	29510	153.69   (152.67-154.70)	6327	0.214 (0.21-0.219)	6920	137.46   (135.72-139.20)	1076	0.155 (0.147-0.164)	-0.0923 (0.00592)	1.01e-54	-0.375 (0.0343)	   0	0.687 (0.664-0.711)
High triglycerides (>200 mg/dl) no lipid meds	Yes	12133	154.17   (152.27-156.07)	2619	0.216 (0.209-0.223)	2796	135.78   (132.58-138.99)	435	0.156 (0.142-0.17)	-0.0843 (0.00833)	4.8e-24	-0.323 (0.044)	5.01e-14	0.724 (0.693-0.757)	23310	147.88   (146.79-148.96)	4486	0.192 (0.187-0.198)	5532	132.43   (130.58-134.28)	759	0.137 (0.128-0.147)	-0.0918 (0.00591)	2.7e-54	-0.374 (0.0343)	   0	0.688 (0.665-0.712)
High triglycerides ADJ (>200 mg/dl)		24388	170.59   (168.91-172.27)	6554	0.269 (0.263-0.274)	5267	144.75   (142.12-147.37)	964	0.183 (0.173-0.194)	-0.0903 (0.00748)	1.78e-33	-0.368 (0.0378)	   0	0.692 (0.667-0.719)	29510	160.19   (159.11-161.28)	7044	0.239 (0.234-0.244)	6920	143.04   (141.15-144.92)	1224	0.177 (0.168-0.186)	-0.0934 (0.00601)	2.24e-54	-0.369 (0.0328)	   0	0.692 (0.669-0.715)
